Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_MODS_PANE_TITLE,Title of the pane to the left of the initial main menu buttons.,Mods,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_NO_MODS,Message shown when no mods have added a button to the Mods pane.,None of your currently installed mods add any buttons to this part of the menu!,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_MOD_SETTINGS_BUTTON,Text on the Mod Settings button in the game's settings menu.,Mod Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_MOD_SETTINGS_TITLE,Title of the Mod Settings page.,Mod Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_MOD_SETTINGS_WELCOME,Initial message shown on the mod settings page.,"Welcome to Mod Settings! If you're wondering what this new menu is, it's a separate settings menu that mods can add to. This menu is separated from the base game's settings in order to make it less likely to break. Basically, if you're not a mod developer, then don't worry about it.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_MOD_SETTINGS_LOAD_ERROR,Message shown when a mod settings tab can't be loaded.,Error loading settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_GAMEPLAY_SETUP_BASE_GAME_TAB,Base game tab name in the gameplay setup pane.,Base Game,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_GAMEPLAY_SETUP_MODS_TAB,Mods tab name in the gameplay setup pane.,Mods,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_GAMEPLAY_SETUP_EDIT_VISIBLE_TABS_HINT,Hover hint of the edit tab visibility (eye) button in the gameplay setup pane.,Edit Tab Visibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_GAMEPLAY_SETUP_LOAD_ERROR,Error message shown when the gameplay setup tab can't be loaded.,Error loading gameplay tab.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_THUMBSTICK_SETTING_NAME,,Disable thumbstick scrolling in Mod Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSML_THUMBSTICK_SETTING_HINT,,Limit control to the scroll bar in mod list to the left of this page. Prevents autoscrolling if you have stick drift.,,,,,,,,,,,,,,,,,,,,,,,,,,,
